descricao;endereco;area;quartos;wc;vagas;valor;condominio;wlink
Sobrado com 3 Quartos à Venda, 145m²;Rua de Itu, 117 - Guabirotuba, Curitiba - PR;145;3;4;2;R$ 699.000;;https://www.vivareal.com.br/imovel/sobrado-3-quartos-guabirotuba-bairros-curitiba-com-garagem-145m2-venda-RS699000-id-2520208987/
Casa com 5 Quartos à Venda, 413m²;Rua São Leopoldo, 137 - Jardim Los Angeles, Curitiba - PR;413;5;5;4;R$ 1.790.000;R$ 340;https://www.vivareal.com.br/imovel/casa-5-quartos-jardim-los-angeles-bairros-curitiba-com-garagem-413m2-venda-RS1790000-id-2494072715/
Apartamento com 3 Quartos à Venda, 58m²;Rua Tamoios, 235 - Vila Izabel, Curitiba - PR;58;3;1;1;R$ 330.000;R$ 440;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-izabel-bairros-curitiba-com-garagem-58m2-venda-RS330000-id-2518187449/
Casa com 5 Quartos à Venda, 307m²;Rua Coronel João Guilherme Guimarães, 802 - Mercês, Curitiba - PR;307;5;5;4;R$ 1.000.000;;https://www.vivareal.com.br/imovel/casa-5-quartos-merces-bairros-curitiba-com-garagem-307m2-venda-RS1000000-id-2507091116/
Casa com 3 Quartos à Venda, 370m²;Rua Ângelo Dallarmi, 539 - Santa Felicidade, Curitiba - PR;370;3;5;10;R$ 1.500.000;;https://www.vivareal.com.br/imovel/sobrado-3-quartos-santa-felicidade-bairros-curitiba-com-garagem-370m2-venda-RS1500000-id-2511850016/
Apartamento com 3 Quartos à Venda, 195m²;Rua Padre Germano Mayer, 131 - Cristo Rei, Curitiba - PR;195;3;4;2;R$ 1.000.000;R$ 1.200;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-195m2-venda-RS1000000-id-2501087111/
Apartamento com 3 Quartos à Venda, 59m²;Rua Lívio Petterle, 251 - Atuba, Curitiba - PR;59;3;2;1;R$ 240.000;R$ 380;https://www.vivareal.com.br/imovel/apartamento-3-quartos-atuba-bairros-curitiba-com-garagem-59m2-venda-RS240000-id-2511743075/
Apartamento com 2 Quartos à Venda, 64m²;Rua José Nicolau Abage - Bigorrilho, Curitiba - PR;64;2;1;1;R$ 350.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bigorrilho-bairros-curitiba-com-garagem-64m2-venda-RS350000-id-2519779124/
Casa de condomínio com 4 Quartos à Venda, 196m²;Rua Nilo Peçanha, 4329 - Pilarzinho, Curitiba - PR;196;4;4;--;R$ 470.000;R$ 383;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-pilarzinho-bairros-curitiba-196m2-venda-RS470000-id-2522984439/
Sobrado com 4 Quartos à Venda, 225m²;Rua Alberico Flores Bueno, 2804 - Bairro Alto, Curitiba - PR;225;4;4;2;R$ 690.000;;https://www.vivareal.com.br/imovel/sobrado-4-quartos-bairro-alto-bairros-curitiba-com-garagem-225m2-venda-RS690000-id-2522467582/
Apartamento com 3 Quartos à Venda, 67m²;Rua Mário Chalbaud Biscaia, 782 - Novo Mundo, Curitiba - PR;67;3;2;1;R$ 360.000;R$ 320;https://www.vivareal.com.br/imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-67m2-venda-RS360000-id-2522878143/
Bosco Centrale;Rua Mariano Torres, 573 - Centro, Curitiba - PR;72-168;3;2-3;1-2;R$ 656.000;;https://www.vivareal.com.br/imoveis-lancamento/bosco-centrale-2481674976/
Casa de condomínio com 3 Quartos à Venda, 125m²;Rua Presidente João Goulart, 1495 - Tatuquara, Curitiba - PR;125;3;2;--;R$ 349.900;R$ 150;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-tatuquara-bairros-curitiba-125m2-venda-RS349900-id-2520210176/
Casa com 3 Quartos à Venda, 97m²;Rua Hayton da Silva Pereira, ... - Capão da Imbuia, Curitiba - PR;97;3;2;2;R$ 395.000;;https://www.vivareal.com.br/imovel/casa-3-quartos-capao-da-imbuia-bairros-curitiba-com-garagem-97m2-venda-RS395000-id-2523135700/
Apartamento com 2 Quartos à Venda, 82m²;Rua Jovino do Rosário, 1620 - Boa Vista, Curitiba - PR;82;2;2;1;R$ 365.000;R$ 324;https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-82m2-venda-RS365000-id-2520653143/
Apartamento com 3 Quartos à Venda, 141m²;Rua Desembargador Isaías Bevilaqua, 378 - Mercês, Curitiba - PR;141;3;4;2;R$ 1.115.000;R$ 830;https://www.vivareal.com.br/imovel/apartamento-3-quartos-merces-bairros-curitiba-com-garagem-141m2-venda-RS1115000-id-2521522187/
Apartamento com 2 Quartos à Venda, 46m²;Rua Carolina Castelli, 482 - Novo Mundo, Curitiba - PR;46;2;1;1;R$ 179.000;R$ 288;https://www.vivareal.com.br/imovel/apartamento-2-quartos-novo-mundo-bairros-curitiba-com-garagem-46m2-venda-RS179000-id-2509103089/
Apartamento com 2 Quartos à Venda, 48m²;Rua Rio Grande do Sul, 907 - Água Verde, Curitiba - PR;48;2;1;1;R$ 239.000;R$ 310;https://www.vivareal.com.br/imovel/apartamento-2-quartos-agua-verde-bairros-curitiba-com-garagem-48m2-venda-RS239000-id-2503697884/
Bosco Centrale;Rua Mariano Torres, 573 - Centro, Curitiba - PR;72-168;2-3;2-3;1-2;R$ 668.100;;https://www.vivareal.com.br/imoveis-lancamento/bosco-centrale-2484690127/
Apartamento com  Quarto à Venda, 25m²;Rua XV de Novembro, 2050 - Alto da Rua XV, Curitiba - PR;25;1;1;--;R$ 145.000;R$ 780;https://www.vivareal.com.br/imovel/apartamento-1-quartos-alto-da-rua-xv-bairros-curitiba-25m2-venda-RS145000-id-2521691173/
Apartamento com 3 Quartos à Venda, 98m²;Avenida Paraná - Bacacheri, Curitiba - PR;98;3;2;1;R$ 415.000;R$ 797;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bacacheri-bairros-curitiba-com-garagem-98m2-venda-RS415000-id-2477268293/
Casa de condomínio com 3 Quartos à Venda, 162m²;Rua Theóphilo Augusto Loyola Guimarães, 78 - Atuba, Curitiba - PR;162;3;3;2;R$ 589.000;;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-atuba-bairros-curitiba-com-garagem-162m2-venda-RS589000-id-2517300719/
Apartamento com 2 Quartos à Venda, 113m²;Rua Coronel Pedro Scherer Sobrinho, 152 - Cristo Rei, Curitiba - PR;113;2;3;2;R$ 1.095.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-113m2-venda-RS1095000-id-2519793461/
Casa de condomínio com 5 Quartos à Venda, 213m²;Rua José Bajerski, 1467 - Abranches, Curitiba - PR;213;5;3;3;R$ 989.231;R$ 545;https://www.vivareal.com.br/imovel/casa-de-condominio-5-quartos-abranches-bairros-curitiba-com-garagem-213m2-venda-RS989231-id-2496869286/
Sobrado com 3 Quartos à Venda, 100m²;Rua Luiz Barreto Murat, 802 - Bairro Alto, Curitiba - PR;100;3;3;2;R$ 430.000;;https://www.vivareal.com.br/imovel/sobrado-3-quartos-bairro-alto-bairros-curitiba-com-garagem-100m2-venda-RS430000-id-2523556953/
Manhattan Tower;Rua André de Barros, 419 - Centro, Curitiba - PR;19-34;1;1;--;R$ 159.900;;https://www.vivareal.com.br/imoveis-lancamento/manhattan-tower-2520503177/
Sobrado com 5 Quartos à Venda, 310m²;Rua Cristiano Strobel, 83 - Xaxim, Curitiba - PR;310;5;6;4;R$ 890.000;;https://www.vivareal.com.br/imovel/sobrado-5-quartos-xaxim-bairros-curitiba-com-garagem-310m2-venda-RS890000-id-2499070373/
Apartamento com 3 Quartos à Venda, 65m²;Rua Pedro Fabri, 165 - Cabral, Curitiba - PR;65;3;1;1;R$ 299.000;R$ 310;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabral-bairros-curitiba-com-garagem-65m2-venda-RS299000-id-2510078894/
Apartamento com  Quarto à Venda, 25m²;Rua Nicolau Maeder, 648 - Juvevê, Curitiba - PR;25;1;1;--;R$ 300.000;R$ 198;https://www.vivareal.com.br/imovel/apartamento-1-quartos-juveve-bairros-curitiba-25m2-venda-RS300000-id-2515160482/
Apartamento com 4 Quartos à Venda, 133m²;Rua João Negrão, 140 - Centro, Curitiba - PR;133;4;3;--;R$ 360.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-curitiba-133m2-venda-RS360000-id-2522002527/
Casa de condomínio com 3 Quartos à Venda, 135m²;Rua Florindo Gusso, 201 - Pilarzinho, Curitiba - PR;135;3;3;--;R$ 498.000;R$ 550;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-pilarzinho-bairros-curitiba-135m2-venda-RS498000-id-2520003508/
Apartamento com 4 Quartos à Venda, 169m²;Rua Campos Sales, 220 - Alto da Glória, Curitiba - PR;169;4;4;2;R$ 700.000;R$ 871;https://www.vivareal.com.br/imovel/apartamento-4-quartos-alto-da-gloria-bairros-curitiba-com-garagem-169m2-venda-RS700000-id-2501613689/
Apartamento com 2 Quartos à Venda, 77m²;Rua Romédio Dorigo, 85 - Água Verde, Curitiba - PR;77;2;2;2;R$ 850.000;R$ 650;https://www.vivareal.com.br/imovel/apartamento-2-quartos-agua-verde-bairros-curitiba-com-garagem-77m2-venda-RS850000-id-2521056632/
Sobrado com 3 Quartos à Venda, 133m²;Rua Walter Guimarães da Costa, 000 - São Lourenço, Curitiba - PR;133;3;4;2;R$ 690.000;;https://www.vivareal.com.br/imovel/sobrado-3-quartos-sao-lourenco-bairros-curitiba-com-garagem-133m2-venda-RS690000-id-2506984044/
Apartamento com 2 Quartos à Venda, 100m²;Rua Alberto Folloni, 594 - Juvevê, Curitiba - PR;100;2;3;1;R$ 450.000;R$ 850;https://www.vivareal.com.br/imovel/apartamento-2-quartos-juveve-bairros-curitiba-com-garagem-100m2-venda-RS450000-id-2500035115/
Apartamento com 3 Quartos à Venda, 67m²;Avenida Fredolin Wolf, 799 - Pilarzinho, Curitiba - PR;67;3;2;2;R$ 440.000;R$ 590;https://www.vivareal.com.br/imovel/apartamento-3-quartos-pilarzinho-bairros-curitiba-com-garagem-67m2-venda-RS440000-id-2522646391/
Sobrado com 3 Quartos à Venda, 145m²;Rua de Itu, 117 - Guabirotuba, Curitiba - PR;145;3;4;2;R$ 699.000;;https://www.vivareal.com.br/imovel/sobrado-3-quartos-guabirotuba-bairros-curitiba-com-garagem-145m2-venda-RS699000-id-2520208987/
Casa com 5 Quartos à Venda, 413m²;Rua São Leopoldo, 137 - Jardim Los Angeles, Curitiba - PR;413;5;5;4;R$ 1.790.000;R$ 340;https://www.vivareal.com.br/imovel/casa-5-quartos-jardim-los-angeles-bairros-curitiba-com-garagem-413m2-venda-RS1790000-id-2494072715/
Apartamento com 3 Quartos à Venda, 58m²;Rua Tamoios, 235 - Vila Izabel, Curitiba - PR;58;3;1;1;R$ 330.000;R$ 440;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-izabel-bairros-curitiba-com-garagem-58m2-venda-RS330000-id-2518187449/
Casa com 5 Quartos à Venda, 307m²;Rua Coronel João Guilherme Guimarães, 802 - Mercês, Curitiba - PR;307;5;5;4;R$ 1.000.000;;https://www.vivareal.com.br/imovel/casa-5-quartos-merces-bairros-curitiba-com-garagem-307m2-venda-RS1000000-id-2507091116/
Casa com 3 Quartos à Venda, 370m²;Rua Ângelo Dallarmi, 539 - Santa Felicidade, Curitiba - PR;370;3;5;10;R$ 1.500.000;;https://www.vivareal.com.br/imovel/sobrado-3-quartos-santa-felicidade-bairros-curitiba-com-garagem-370m2-venda-RS1500000-id-2511850016/
Apartamento com 3 Quartos à Venda, 195m²;Rua Padre Germano Mayer, 131 - Cristo Rei, Curitiba - PR;195;3;4;2;R$ 1.000.000;R$ 1.200;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-195m2-venda-RS1000000-id-2501087111/
Apartamento com 3 Quartos à Venda, 59m²;Rua Lívio Petterle, 251 - Atuba, Curitiba - PR;59;3;2;1;R$ 240.000;R$ 380;https://www.vivareal.com.br/imovel/apartamento-3-quartos-atuba-bairros-curitiba-com-garagem-59m2-venda-RS240000-id-2511743075/
Apartamento com 2 Quartos à Venda, 64m²;Rua José Nicolau Abage - Bigorrilho, Curitiba - PR;64;2;1;1;R$ 350.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bigorrilho-bairros-curitiba-com-garagem-64m2-venda-RS350000-id-2519779124/
Casa de condomínio com 4 Quartos à Venda, 196m²;Rua Nilo Peçanha, 4329 - Pilarzinho, Curitiba - PR;196;4;4;--;R$ 470.000;R$ 383;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-pilarzinho-bairros-curitiba-196m2-venda-RS470000-id-2522984439/
Sobrado com 4 Quartos à Venda, 225m²;Rua Alberico Flores Bueno, 2804 - Bairro Alto, Curitiba - PR;225;4;4;2;R$ 690.000;;https://www.vivareal.com.br/imovel/sobrado-4-quartos-bairro-alto-bairros-curitiba-com-garagem-225m2-venda-RS690000-id-2522467582/
Apartamento com 3 Quartos à Venda, 67m²;Rua Mário Chalbaud Biscaia, 782 - Novo Mundo, Curitiba - PR;67;3;2;1;R$ 360.000;R$ 320;https://www.vivareal.com.br/imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-67m2-venda-RS360000-id-2522878143/
Bosco Centrale;Rua Mariano Torres, 573 - Centro, Curitiba - PR;72-168;2-3;2-3;1-2;R$ 668.100;;https://www.vivareal.com.br/imoveis-lancamento/bosco-centrale-2484690127/
Casa de condomínio com 3 Quartos à Venda, 125m²;Rua Presidente João Goulart, 1495 - Tatuquara, Curitiba - PR;125;3;2;--;R$ 349.900;R$ 150;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-tatuquara-bairros-curitiba-125m2-venda-RS349900-id-2520210176/
Casa com 3 Quartos à Venda, 97m²;Rua Hayton da Silva Pereira, ... - Capão da Imbuia, Curitiba - PR;97;3;2;2;R$ 395.000;;https://www.vivareal.com.br/imovel/casa-3-quartos-capao-da-imbuia-bairros-curitiba-com-garagem-97m2-venda-RS395000-id-2523135700/
Apartamento com 2 Quartos à Venda, 82m²;Rua Jovino do Rosário, 1620 - Boa Vista, Curitiba - PR;82;2;2;1;R$ 365.000;R$ 324;https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-82m2-venda-RS365000-id-2520653143/
Apartamento com 3 Quartos à Venda, 141m²;Rua Desembargador Isaías Bevilaqua, 378 - Mercês, Curitiba - PR;141;3;4;2;R$ 1.115.000;R$ 830;https://www.vivareal.com.br/imovel/apartamento-3-quartos-merces-bairros-curitiba-com-garagem-141m2-venda-RS1115000-id-2521522187/
Apartamento com 2 Quartos à Venda, 46m²;Rua Carolina Castelli, 482 - Novo Mundo, Curitiba - PR;46;2;1;1;R$ 179.000;R$ 288;https://www.vivareal.com.br/imovel/apartamento-2-quartos-novo-mundo-bairros-curitiba-com-garagem-46m2-venda-RS179000-id-2509103089/
Apartamento com 2 Quartos à Venda, 48m²;Rua Rio Grande do Sul, 907 - Água Verde, Curitiba - PR;48;2;1;1;R$ 239.000;R$ 310;https://www.vivareal.com.br/imovel/apartamento-2-quartos-agua-verde-bairros-curitiba-com-garagem-48m2-venda-RS239000-id-2503697884/
Bosco Centrale;Rua Mariano Torres, 573 - Centro, Curitiba - PR;72-168;3;2-3;1-2;R$ 656.000;;https://www.vivareal.com.br/imoveis-lancamento/bosco-centrale-2481674976/
Apartamento com  Quarto à Venda, 25m²;Rua XV de Novembro, 2050 - Alto da Rua XV, Curitiba - PR;25;1;1;--;R$ 145.000;R$ 780;https://www.vivareal.com.br/imovel/apartamento-1-quartos-alto-da-rua-xv-bairros-curitiba-25m2-venda-RS145000-id-2521691173/
Apartamento com 3 Quartos à Venda, 98m²;Avenida Paraná - Bacacheri, Curitiba - PR;98;3;2;1;R$ 415.000;R$ 797;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bacacheri-bairros-curitiba-com-garagem-98m2-venda-RS415000-id-2477268293/
Casa de condomínio com 3 Quartos à Venda, 162m²;Rua Theóphilo Augusto Loyola Guimarães, 78 - Atuba, Curitiba - PR;162;3;3;2;R$ 589.000;;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-atuba-bairros-curitiba-com-garagem-162m2-venda-RS589000-id-2517300719/
Apartamento com 2 Quartos à Venda, 113m²;Rua Coronel Pedro Scherer Sobrinho, 152 - Cristo Rei, Curitiba - PR;113;2;3;2;R$ 1.095.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-113m2-venda-RS1095000-id-2519793461/
Casa de condomínio com 5 Quartos à Venda, 213m²;Rua José Bajerski, 1467 - Abranches, Curitiba - PR;213;5;3;3;R$ 989.231;R$ 545;https://www.vivareal.com.br/imovel/casa-de-condominio-5-quartos-abranches-bairros-curitiba-com-garagem-213m2-venda-RS989231-id-2496869286/
Sobrado com 3 Quartos à Venda, 100m²;Rua Luiz Barreto Murat, 802 - Bairro Alto, Curitiba - PR;100;3;3;2;R$ 430.000;;https://www.vivareal.com.br/imovel/sobrado-3-quartos-bairro-alto-bairros-curitiba-com-garagem-100m2-venda-RS430000-id-2523556953/
Manhattan Tower;Rua André de Barros, 419 - Centro, Curitiba - PR;19-34;1;1;--;R$ 159.900;;https://www.vivareal.com.br/imoveis-lancamento/manhattan-tower-2520503177/
Sobrado com 5 Quartos à Venda, 310m²;Rua Cristiano Strobel, 83 - Xaxim, Curitiba - PR;310;5;6;4;R$ 890.000;;https://www.vivareal.com.br/imovel/sobrado-5-quartos-xaxim-bairros-curitiba-com-garagem-310m2-venda-RS890000-id-2499070373/
Apartamento com 3 Quartos à Venda, 65m²;Rua Pedro Fabri, 165 - Cabral, Curitiba - PR;65;3;1;1;R$ 299.000;R$ 310;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabral-bairros-curitiba-com-garagem-65m2-venda-RS299000-id-2510078894/
Apartamento com  Quarto à Venda, 25m²;Rua Nicolau Maeder, 648 - Juvevê, Curitiba - PR;25;1;1;--;R$ 300.000;R$ 198;https://www.vivareal.com.br/imovel/apartamento-1-quartos-juveve-bairros-curitiba-25m2-venda-RS300000-id-2515160482/
Apartamento com 4 Quartos à Venda, 133m²;Rua João Negrão, 140 - Centro, Curitiba - PR;133;4;3;--;R$ 360.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-curitiba-133m2-venda-RS360000-id-2522002527/
Casa de condomínio com 3 Quartos à Venda, 135m²;Rua Florindo Gusso, 201 - Pilarzinho, Curitiba - PR;135;3;3;--;R$ 498.000;R$ 550;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-pilarzinho-bairros-curitiba-135m2-venda-RS498000-id-2520003508/
Apartamento com 4 Quartos à Venda, 169m²;Rua Campos Sales, 220 - Alto da Glória, Curitiba - PR;169;4;4;2;R$ 700.000;R$ 871;https://www.vivareal.com.br/imovel/apartamento-4-quartos-alto-da-gloria-bairros-curitiba-com-garagem-169m2-venda-RS700000-id-2501613689/
Apartamento com 2 Quartos à Venda, 77m²;Rua Romédio Dorigo, 85 - Água Verde, Curitiba - PR;77;2;2;2;R$ 850.000;R$ 650;https://www.vivareal.com.br/imovel/apartamento-2-quartos-agua-verde-bairros-curitiba-com-garagem-77m2-venda-RS850000-id-2521056632/
Sobrado com 3 Quartos à Venda, 133m²;Rua Walter Guimarães da Costa, 000 - São Lourenço, Curitiba - PR;133;3;4;2;R$ 690.000;;https://www.vivareal.com.br/imovel/sobrado-3-quartos-sao-lourenco-bairros-curitiba-com-garagem-133m2-venda-RS690000-id-2506984044/
Apartamento com 2 Quartos à Venda, 100m²;Rua Alberto Folloni, 594 - Juvevê, Curitiba - PR;100;2;3;1;R$ 450.000;R$ 850;https://www.vivareal.com.br/imovel/apartamento-2-quartos-juveve-bairros-curitiba-com-garagem-100m2-venda-RS450000-id-2500035115/
Apartamento com 3 Quartos à Venda, 67m²;Avenida Fredolin Wolf, 799 - Pilarzinho, Curitiba - PR;67;3;2;2;R$ 440.000;R$ 590;https://www.vivareal.com.br/imovel/apartamento-3-quartos-pilarzinho-bairros-curitiba-com-garagem-67m2-venda-RS440000-id-2522646391/
Sobrado com 3 Quartos à Venda, 145m²;Rua de Itu, 117 - Guabirotuba, Curitiba - PR;145;3;4;2;R$ 699.000;;https://www.vivareal.com.br/imovel/sobrado-3-quartos-guabirotuba-bairros-curitiba-com-garagem-145m2-venda-RS699000-id-2520208987/
Casa com 5 Quartos à Venda, 413m²;Rua São Leopoldo, 137 - Jardim Los Angeles, Curitiba - PR;413;5;5;4;R$ 1.790.000;R$ 340;https://www.vivareal.com.br/imovel/casa-5-quartos-jardim-los-angeles-bairros-curitiba-com-garagem-413m2-venda-RS1790000-id-2494072715/
Apartamento com 3 Quartos à Venda, 58m²;Rua Tamoios, 235 - Vila Izabel, Curitiba - PR;58;3;1;1;R$ 330.000;R$ 440;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-izabel-bairros-curitiba-com-garagem-58m2-venda-RS330000-id-2518187449/
Casa com 5 Quartos à Venda, 307m²;Rua Coronel João Guilherme Guimarães, 802 - Mercês, Curitiba - PR;307;5;5;4;R$ 1.000.000;;https://www.vivareal.com.br/imovel/casa-5-quartos-merces-bairros-curitiba-com-garagem-307m2-venda-RS1000000-id-2507091116/
Casa com 3 Quartos à Venda, 370m²;Rua Ângelo Dallarmi, 539 - Santa Felicidade, Curitiba - PR;370;3;5;10;R$ 1.500.000;;https://www.vivareal.com.br/imovel/sobrado-3-quartos-santa-felicidade-bairros-curitiba-com-garagem-370m2-venda-RS1500000-id-2511850016/
Apartamento com 3 Quartos à Venda, 195m²;Rua Padre Germano Mayer, 131 - Cristo Rei, Curitiba - PR;195;3;4;2;R$ 1.000.000;R$ 1.200;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-195m2-venda-RS1000000-id-2501087111/
Apartamento com 3 Quartos à Venda, 59m²;Rua Lívio Petterle, 251 - Atuba, Curitiba - PR;59;3;2;1;R$ 240.000;R$ 380;https://www.vivareal.com.br/imovel/apartamento-3-quartos-atuba-bairros-curitiba-com-garagem-59m2-venda-RS240000-id-2511743075/
Apartamento com 2 Quartos à Venda, 64m²;Rua José Nicolau Abage - Bigorrilho, Curitiba - PR;64;2;1;1;R$ 350.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bigorrilho-bairros-curitiba-com-garagem-64m2-venda-RS350000-id-2519779124/
Casa de condomínio com 4 Quartos à Venda, 196m²;Rua Nilo Peçanha, 4329 - Pilarzinho, Curitiba - PR;196;4;4;--;R$ 470.000;R$ 383;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-pilarzinho-bairros-curitiba-196m2-venda-RS470000-id-2522984439/
Sobrado com 4 Quartos à Venda, 225m²;Rua Alberico Flores Bueno, 2804 - Bairro Alto, Curitiba - PR;225;4;4;2;R$ 690.000;;https://www.vivareal.com.br/imovel/sobrado-4-quartos-bairro-alto-bairros-curitiba-com-garagem-225m2-venda-RS690000-id-2522467582/
Apartamento com 3 Quartos à Venda, 67m²;Rua Mário Chalbaud Biscaia, 782 - Novo Mundo, Curitiba - PR;67;3;2;1;R$ 360.000;R$ 320;https://www.vivareal.com.br/imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-67m2-venda-RS360000-id-2522878143/
Bosco Centrale;Rua Mariano Torres, 573 - Centro, Curitiba - PR;72-168;2-3;2-3;1-2;R$ 668.100;;https://www.vivareal.com.br/imoveis-lancamento/bosco-centrale-2484690127/
Casa de condomínio com 3 Quartos à Venda, 125m²;Rua Presidente João Goulart, 1495 - Tatuquara, Curitiba - PR;125;3;2;--;R$ 349.900;R$ 150;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-tatuquara-bairros-curitiba-125m2-venda-RS349900-id-2520210176/
